Summary of Actualizations Created from Comparison of ISO Actuals to EPMI Estimates,,,,,,,,,
,,,,,,,,,
,,Customer,Dati,,,,,,
,,ECTRT,,ECTstCA,,SCL,,Totale Somma - QTY,Totale Somma - AMT
dtTradingDate,iTradingMinute,Somma - QTY,Somma - AMT,Somma - QTY,Somma - AMT,Somma - QTY,Somma - AMT,,
2000-09-06 00:00:00,1,-0.7387116,-143.3105,-0.1846779,-35.8254,-17.5452005,-3403.6167,-18.46859,-3582.7526
,2,-0.4194272,-84.0001,-0.1048568,-20.999,-9.962196,-1995.0077,-10.48648,-2100.0068
,3,-0.415010533333333,-80.9891,-0.103752633333333,-20.2464,-9.85730016666667,-1923.5,-10.3760633333333,-2024.7355
,4,-0.472621813333333,-98.4026,-0.118155453333333,-24.601,-11.2255680666667,-2337.0647,-11.8163453333333,-2460.0683
,5,-0.714908,-105.4868,-0.178727,-26.3727,-16.979865,-2505.2922,-17.8735,-2637.1517
,6,-0.714908,-112.3191,-0.178727,-28.0804,-16.979865,-2667.5678,-17.8735,-2807.9673
2000-09-07 00:00:00,1,-0.680323333333334,-165.9968,-0.170080833333333,-41.4989,-16.1576791666667,-3942.3868,-17.0080833333333,-4149.8825
,2,-0.381026,-93.9168,-0.0952565,-23.4788,-9.0493675,-2230.4875,-9.52565,-2347.8831
,3,-0.381026,-93.2009,-0.0952565,-23.2999,-9.0493675,-2213.4852,-9.52565,-2329.986
,4,-0.276304666666666,-68.0698,-0.0690761666666667,-17.0175,-6.56223583333333,-1616.6586,-6.90761666666667,-1701.7459
,5,-0.279224666666666,-56.1361,-0.0698061666666667,-14.0341,-6.63158583333333,-1333.2321,-6.98061666666666,-1403.4023
,6,-0.279224666666666,-56.1361,-0.0698061666666667,-14.0341,-6.63158583333333,-1333.2321,-6.98061666666666,-1403.4023
2000-09-08 00:00:00,1,-0.296930666666667,-56.5673,-0.0742326666666667,-14.1419,-7.05210333333333,-1343.474,-7.42326666666667,-1414.1832
,2,-0.0108186666666667,-2.1811,-0.00270466666666667,-0.5453,-0.256943333333333,-51.801,-0.270466666666666,-54.5274
,3,-0.015632,-3.2091,-0.003908,-0.8023,-0.37126,-76.2156,-0.3908,-80.227
,4,-0.0483119999999998,-9.7441,-0.012078,-2.4361,-1.14741,-231.4204,-1.2078,-243.6006
,5,-0.294166666666667,-10.7854,-0.0735416666666668,-2.6964,-6.98645833333333,-256.1521,-7.35416666666667,-269.6339
,6,-0.294166666666667,-27.6403,-0.0735416666666668,-6.9175,-6.98645833333333,-656.2101,-7.35416666666667,-690.7679
2000-09-11 00:00:00,1,-0.00305733333333332,-0.7643,-0.000764333333333329,-0.1911,-0.0726116666666661,-18.1529,-0.0764333333333327,-19.1083
,2,-0.0487946666666667,-12.1987,-0.0121986666666667,-3.0497,-1.15887333333333,-289.7183,-1.21986666666667,-304.9667
,3,-0.111756,-26.8203,-0.027939,-6.7052,-2.654205,-636.9826,-2.7939,-670.5081
,4,-0.111756,-14.0812,-0.027939,-3.5204,-2.654205,-334.4298,-2.7939,-352.0314
,5,-0.111756,-20.2278,-0.027939,-5.0571,-2.654205,-480.411,-2.7939,-505.6959
,6,-0.111756,-26.0525,-0.027939,-6.5133,-2.654205,-618.7482,-2.7939,-651.314
2000-09-12 00:00:00,1,-0.261462666666667,-60.5426,-0.0653656666666667,-15.136,-6.20973833333333,-1437.8825,-6.53656666666667,-1513.5611
,2,-0.075752,-10.0175,-0.018938,-2.5047,-1.79911,-237.9204,-1.8938,-250.4426
,3,-0.075752,-13.1745,-0.018938,-3.294,-1.79911,-312.8972,-1.8938,-329.3657
,4,-0.00816466666666659,-1.9802,-0.00204116666666665,-0.4953,-0.193910833333331,-47.0335,-0.204116666666665,-49.509
,5,-0.00949933333333326,-2.3402,-0.00237483333333331,-0.5852,-0.225609166666665,-55.5834,-0.237483333333331,-58.5088
,6,-0.00949933333333326,-2.3402,-0.00237483333333331,-0.5852,-0.225609166666664,-55.5833,-0.237483333333331,-58.5087
2000-09-13 00:00:00,1,-0.747682666666667,-185.1559,-0.186920666666667,-46.2889,-17.7574633333333,-4397.4526,-18.6920666666667,-4628.8974
,2,-0.748576,-187.1421,-0.187144,-46.7854,-17.77868,-4444.6261,-18.7144,-4678.5536
,3,-0.748576,-187.1373,-0.187144,-46.7842,-17.77868,-4444.5115,-18.7144,-4678.433
,4,-0.978878666666667,-244.5668,-0.244719666666667,-61.1428,-23.2483683333333,-5808.4741,-24.4719666666667,-6114.1837
,5,-1.081868,-241.1413,-0.270467,-60.2862,-25.694365,-5727.1129,-27.0467,-6028.5404
,6,-1.08344133333333,-269.2188,-0.270860333333334,-67.3053,-25.7317316666667,-6393.9475,-27.0860333333333,-6730.4716
2000-09-14 00:00:00,1,-0.00886733333333322,-2.214,-0.0022168333333333,-0.5535,-0.210599166666664,-52.5823,-0.22168333333333,-55.3498
,2,-0.0105406666666666,-2.6307,-0.00263516666666664,-0.6577,-0.250340833333331,-62.4779,-0.263516666666664,-65.7663
,3,-0.105491333333333,-20.0021,-0.0263728333333333,-5.0009,-2.50541916666666,-475.0534,-2.63728333333333,-500.0564
,4,-0.105491333333333,-20.9135,-0.0263728333333333,-5.2287,-2.50541916666666,-496.6996,-2.63728333333333,-522.8418
,5,-0.105491333333333,-7.6556,-0.0263728333333333,-1.9141,-2.50541916666667,-181.8232,-2.63728333333333,-191.3929
,6,-0.105491333333333,-0.3769,-0.0263728333333333,-0.0942,-2.50541916666667,-8.9498,-2.63728333333333,-9.4209
2000-09-15 00:00:00,1,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,2,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,3,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,4,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,5,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
,6,3.88578058618806e-17,0,9.71445146547012e-18,0,9.22872889219661e-16,0,9.71445146547012e-16,0
2000-09-16 00:00:00,1,-0.146934666666667,-36.7343,-0.0367336666666666,-9.1759,-3.48969833333333,-872.4315,-3.67336666666667,-918.3417
,2,-0.0035946666666667,-0.8987,-0.000898666666666676,-0.2246,-0.085373333333334,-21.3433,-0.0898666666666674,-22.4666
,3,-0.00442666666666668,-1.1067,-0.00110666666666667,-0.2766,-0.105133333333334,-26.2833,-0.110666666666667,-27.6666
,4,-0.00442666666666668,-1.1067,-0.00110666666666667,-0.2766,-0.105133333333334,-26.2833,-0.110666666666667,-27.6666
,5,-0.156849333333333,-39.2123,-0.0392123333333334,-9.803,-3.72517166666667,-931.2929,-3.92123333333333,-980.3082
,6,-0.219864,-0.719,-0.0549660000000001,-0.1797,-5.22177,-17.0762,-5.4966,-17.9749
2000-09-17 00:00:00,1,-0.132818333333333,-32.1459,-0.0332045833333334,-8.0369,-3.15443541666666,-763.4569,-3.32045833333333,-803.6397
,2,-0.0717906666666668,-17.7343,-0.0179476666666667,-4.4339,-1.70502833333333,-421.1802,-1.79476666666666,-443.3484
,3,-0.00702266666666652,-1.7499,-0.00175566666666663,-0.4375,-0.16678833333333,-41.5586,-0.175566666666663,-43.746
,4,-0.00320866666666649,-0.7998,-0.000802166666666625,-0.2,-0.0762058333333287,-18.9945,-0.0802166666666618,-19.9943
,5,-0.00320866666666649,-0.8022,-0.000802166666666625,-0.2006,-0.0762058333333287,-19.0508,-0.0802166666666618,-20.0536
,6,-0.136939666666666,-34.1012,-0.0342349166666666,-8.5254,-3.25231708333333,-809.9025,-3.42349166666666,-852.5291
2000-09-19 00:00:00,1,-0.736531,-184.1288,-0.18413275,-46.0323,-17.49221125,-4373.0577,-18.412875,-4603.2188
,2,-0.172102,-43.0215,-0.0430254999999999,-10.7554,-4.08702249999999,-1021.7606,-4.30214999999999,-1075.5375
,3,-0.172475333333333,-43.1148,-0.0431188333333333,-10.7787,-4.09588916666666,-1023.9773,-4.31148333333333,-1077.8708
,4,-0.187211333333333,-46.7988,-0.0468028333333333,-11.6997,-4.44586916666666,-1111.4723,-4.67988333333333,-1169.9708
,5,-0.317603333333333,-78.6744,-0.0794008333333333,-19.6685,-7.54267916666666,-1868.5139,-7.93968333333333,-1966.8568
,6,-0.317603333333333,-78.6744,-0.0794008333333333,-19.6685,-7.54267916666666,-1868.5139,-7.93968333333333,-1966.8568
2000-09-20 00:00:00,1,-0.137579,-34.3948,-0.03439475,-8.5988,-3.26750125,-816.8752,-3.439475,-859.8688
,2,-0.010492,-2.6229,-0.002623,-0.6558,-0.249184999999999,-62.2963,-0.262299999999999,-65.575
,3,-0.010492,-2.6229,-0.002623,-0.6558,-0.249184999999999,-62.2963,-0.262299999999999,-65.575
,4,-0.0348726666666666,-8.718,-0.00871816666666667,-2.1796,-0.828225833333332,-207.0565,-0.871816666666666,-217.9541
,5,-0.200877333333333,-30.8038,-0.0502193333333334,-7.7007,-4.77083666666666,-731.5925,-5.02193333333333,-770.097
,6,-0.201057333333333,-2.5951,-0.0502643333333334,-0.6489,-4.77511166666666,-61.637,-5.02643333333333,-64.881
Totale Risultato,,-16.87212648,-3550.0682,-4.21803161999999,-887.520200000001,-400.715403899999,-84313.7621000001,-421.805561999999,-88751.3505
